configuration,epoch,loss,invariance,variance,covariance
reference_64d_25_25_1,1,0.545340002063782,0.000602465017671479,0.021201788853373257,0.00023365658476435665
reference_64d_25_25_1,2,0.2606171511353985,0.00040278580690351044,0.010010969389470355,0.00027327578291372063
reference_64d_25_25_1,3,0.1909104046081343,0.0003612259610998726,0.007264074291132631,0.00027789966524353313
dimension_32,1,0.8751120879765479,0.0011410199316038239,0.033826320221827876,0.0009285943640040182
dimension_32,2,0.2929732537558002,0.0010117636579267245,0.010659511967171584,0.0011913651532884087
dimension_32,3,0.2638024682960203,0.0004763880527705976,0.010026065121975637,0.0012411420015738376
dimension_128,1,0.3285940258253005,0.0006188240198929223,0.012522361849644972,6.438049612986487e-05
dimension_128,2,0.15653756549281458,0.00029971676462258573,0.005958448719954298,8.342659237959813e-05
dimension_128,3,0.11446218372833344,0.00022413177993213697,0.0043506149255159885,9.35150261108403e-05
equal_weights_1_1_1,1,0.021716595567282167,0.000601817086457994,0.020881191887442144,0.00023358684095529174
equal_weights_1_1_1,2,0.009664674619993856,0.0004337428117944529,0.008950330189339096,0.0002806015498560643
equal_weights_1_1_1,3,0.008151983586891044,0.0003344097079412501,0.007529461279421324,0.0002881125462496833
reduced_variance_25_10_1,1,0.21880025608885673,0.0004903883063009069,0.020630979054276983,0.00023075788056948728
reduced_variance_25_10_1,2,0.10913802154602543,0.00020676497801867946,0.01036879741736958,0.0002809235574527373
reduced_variance_25_10_1,3,0.09057803271758941,0.0002966369897876575,0.008288506861595858,0.00027703885749478136
