direction,explained_variance,stable_fraction,minimum_bucket,occupancy_cv
pc1,0.7290499210357666,0.33466666666666667,9,0.39098668692901106
pc2,0.23925478756427765,0.34933333333333333,13,0.2763949158813996
pc3,0.01696416363120079,0.314,17,0.45464502356032926
random,,0.4126666666666667,20,0.2801452649081185
