category,selected_fraction,nonselected_fraction,difference
motorbikes,0.06682577565632458,0.08904421820392038,-0.022218442547595793
faces_easy,0.028639618138424822,0.048928734234918704,-0.02028911609649388
background_google,0.06682577565632458,0.05014435496125209,0.016681420695072495
anchor,0.01909307875894988,0.003950767360583498,0.015142311398366384
cougar_face,0.01909307875894988,0.007293724358000304,0.011799354400949577
kangaroo,0.01909307875894988,0.008509345084333687,0.010583733674616194
grand_piano,0.002386634844868735,0.011700349490958821,-0.009313714646090085
airplanes,0.07875894988066826,0.08767664488679532,-0.00891769500612706
binocular,0.011933174224343675,0.0031910044066251328,0.008742169817718543
sunflower,0.016706443914081145,0.008205439902750342,0.008501004011330804
starfish,0.016706443914081145,0.00866129767512536,0.008045146238955785
watch,0.01909307875894988,0.02689560857012612,-0.00780252981117624
lotus,0.014319809069212411,0.006685913994833612,0.007633895074378799
cellphone,0.014319809069212411,0.006837866585625285,0.007481942483587126
faces,0.0405727923627685,0.04801701869016867,-0.007444226327400168
yin_yang,0.0,0.006685913994833612,-0.006685913994833612
wheelchair,0.0,0.006533961404041939,-0.006533961404041939
pizza,0.011933174224343675,0.005470293268500228,0.006462880955843447
car_side,0.01909307875894988,0.013067922808083879,0.006025155950866003
cougar_body,0.0,0.005622245859291901,-0.005622245859291901
brain,0.00477326968973747,0.01018082358304209,-0.00540755389330462
joshua_tree,0.011933174224343675,0.006533961404041939,0.005399212820301736
mandolin,0.00954653937947494,0.00455857772375019,0.0049879616557247505
lamp,0.011933174224343675,0.006989819176416958,0.004943355047926717
elephant,0.002386634844868735,0.007293724358000304,-0.004907089513131568
ferry,0.002386634844868735,0.007293724358000304,-0.004907089513131568
scissors,0.0,0.004862482905333536,-0.004862482905333536
crocodile_head,0.00954653937947494,0.005014435496125209,0.004532103883349732
cup,0.002386634844868735,0.006685913994833612,-0.004299279149964877
windsor_chair,0.002386634844868735,0.0063820088132502655,-0.00399537396838153
rhino,0.00954653937947494,0.005774198450083574,0.0037723409293913667
rooster,0.002386634844868735,0.00607810363166692,-0.0036914687867981846
inline_skate,0.0,0.003646862179000152,-0.003646862179000152
crab,0.00477326968973747,0.008357392493542014,-0.003584122803804544
nautilus,0.002386634844868735,0.005774198450083574,-0.003387563605214839
minaret,0.00477326968973747,0.008053487311958669,-0.0032802176222211984
brontosaurus,0.002386634844868735,0.005622245859291901,-0.003235611014423166
barrel,0.002386634844868735,0.005470293268500228,-0.003083658423631493
tick,0.002386634844868735,0.005470293268500228,-0.003083658423631493
buddha,0.011933174224343675,0.008965202856708708,0.0029679713676349674
chair,0.00954653937947494,0.006685913994833612,0.0028606253846413287
llama,0.00477326968973747,0.00759762953958365,-0.00282435984984618
pigeon,0.007159904534606206,0.0044066251329585165,0.002753279401647689
dolphin,0.00477326968973747,0.007445676948791977,-0.002672407259054507
revolver,0.011933174224343675,0.009269108038292053,0.0026640661860516217
menorah,0.007159904534606206,0.009724965810667072,-0.0025650612760608664
stop_sign,0.00954653937947494,0.006989819176416958,0.002556720203057983
lobster,0.002386634844868735,0.004862482905333536,-0.002475848060464801
flamingo_head,0.007159904534606206,0.004710530314541863,0.0024493742200643424
pagoda,0.007159904534606206,0.004710530314541863,0.0024493742200643424
butterfly,0.011933174224343675,0.0095730132198754,0.002360161004468276
ketch,0.014319809069212411,0.012004254672542167,0.0023155543966702444
crocodile,0.007159904534606206,0.004862482905333536,0.0022974216292726696
ewer,0.011933174224343675,0.009724965810667072,0.002208208413676603
panda,0.002386634844868735,0.00455857772375019,-0.002171942878881455
stapler,0.007159904534606206,0.005014435496125209,0.0021454690384809967
emu,0.007159904534606206,0.005014435496125209,0.0021454690384809967
octopus,0.002386634844868735,0.0044066251329585165,-0.0020199902880897814
mayfly,0.002386634844868735,0.0044066251329585165,-0.0020199902880897814
hawksbill,0.00954653937947494,0.011548396900167148,-0.0020018575206922073
cannon,0.007159904534606206,0.005166388086916882,0.001993516447689324
electric_guitar,0.00954653937947494,0.00759762953958365,0.0019489098398912906
helicopter,0.011933174224343675,0.010028870992250418,0.0019043032320932574
water_lilly,0.002386634844868735,0.004254672542166844,-0.0018680376972981085
leopards,0.02386634844868735,0.022033125664792586,0.001833222783894764
crayfish,0.00954653937947494,0.007749582130375323,0.0017969572490996177
accordion,0.00477326968973747,0.006533961404041939,-0.0017606917143044689
ceiling_fan,0.007159904534606206,0.005470293268500228,0.0016896112661059772
dalmatian,0.00954653937947494,0.007901534721166996,0.0016450046583079449
hedgehog,0.00477326968973747,0.0063820088132502655,-0.0016087391235127951
headphone,0.002386634844868735,0.003950767360583498,-0.0015641325157147628
wild_cat,0.002386634844868735,0.003798814769791825,-0.00141217992492309
bonsai,0.014319809069212411,0.012915970217292206,0.0014038388519202055
schooner,0.00477326968973747,0.00607810363166692,-0.0013048339419294494
gerenuk,0.00477326968973747,0.003494909588208479,0.0012783601015289915
garfield,0.002386634844868735,0.003646862179000152,-0.0012602273341314166
ibis,0.007159904534606206,0.008357392493542014,-0.001197487958935809
camera,0.00477326968973747,0.005926151040875247,-0.0011528813511377765
metronome,0.00477326968973747,0.003646862179000152,0.0011264075107373186
bass,0.007159904534606206,0.00607810363166692,0.0010818009029392858
umbrella,0.007159904534606206,0.008205439902750342,-0.001045535368144136
pyramid,0.00477326968973747,0.005774198450083574,-0.0010009287603461037
dollar_bill,0.00477326968973747,0.005774198450083574,-0.0010009287603461037
wrench,0.00477326968973747,0.003798814769791825,0.0009744549199456453
stegosaurus,0.007159904534606206,0.006230056222458593,0.0009298483121476129
flamingo,0.007159904534606206,0.006230056222458593,0.0009298483121476129
sea_horse,0.007159904534606206,0.006230056222458593,0.0009298483121476129
okapi,0.00477326968973747,0.003950767360583498,0.0008225023291539724
strawberry,0.00477326968973747,0.003950767360583498,0.0008225023291539724
snoopy,0.00477326968973747,0.004102719951375171,0.0006705497383622996
saxophone,0.00477326968973747,0.005318340677708555,-0.0005450709879710842
gramophone,0.00477326968973747,0.005318340677708555,-0.0005450709879710842
platypus,0.002386634844868735,0.002887099225041787,-0.0005004643801730518
euphonium,0.007159904534606206,0.006685913994833612,0.00047399053977259346
beaver,0.00477326968973747,0.005166388086916882,-0.00039311839717941135
laptop,0.00954653937947494,0.009876918401458745,-0.0003303790219838041
trilobite,0.00954653937947494,0.009269108038292053,0.00027743134118288736
ant,0.00477326968973747,0.005014435496125209,-0.00024116580638773848
chandelier,0.011933174224343675,0.011700349490958821,0.0002328247333848541
scorpion,0.00954653937947494,0.0095730132198754,-2.6473840400458373e-05
dragonfly,0.007159904534606206,0.007141771767208631,1.813276739757487e-05
soccer_ball,0.007159904534606206,0.007141771767208631,1.813276739757487e-05
