variant,seed,sequence,attack,covers,symbol_accuracy,message_success,rs_corrections
pc1_no_qualification,11,3,crop_05,348,0.632183908045977,0,-1
pc1_no_qualification,11,3,crop_10,348,0.4281609195402299,0,-1
pc1_no_qualification,11,3,crop_08_holdout,348,0.5258620689655172,0,-1
pc1_no_qualification,11,3,crop_12_holdout,348,0.3764367816091954,0,-1
pc1_no_qualification,11,3,rotate_3,348,0.8879310344827587,1,37
pc1_no_qualification,11,3,rotate_7,348,0.7298850574712644,0,-1
pc1_no_qualification,11,3,rotate_5_holdout,348,0.7959770114942529,0,-1
pc1_no_qualification,11,3,rotate_9_holdout,348,0.6781609195402298,0,-1
pc1_no_qualification,11,4,clean,348,1.0,1,0
pc1_no_qualification,11,4,jpeg_80,348,0.9971264367816092,1,1
pc1_no_qualification,11,4,jpeg_50,348,0.9913793103448276,1,3
pc1_no_qualification,11,4,gaussian_5,348,0.9252873563218391,1,25
pc1_no_qualification,11,4,gaussian_12,348,0.9195402298850575,1,27
pc1_no_qualification,11,4,gaussian_9_holdout,348,0.9310344827586207,1,23
pc1_no_qualification,11,4,gaussian_15_holdout,348,0.9109195402298851,1,31
pc1_no_qualification,11,4,blur_0.8,348,0.9511494252873564,1,16
pc1_no_qualification,11,4,blur_1.5,348,0.8649425287356322,1,44
pc1_no_qualification,11,4,blur_1.2_holdout,348,0.896551724137931,1,34
pc1_no_qualification,11,4,blur_1.8_holdout,348,0.8390804597701149,1,53
pc1_no_qualification,11,4,resize_075,348,0.9597701149425287,1,14
pc1_no_qualification,11,4,resize_050,348,0.9367816091954023,1,21
pc1_no_qualification,11,4,crop_05,348,0.6206896551724138,0,-1
pc1_no_qualification,11,4,crop_10,348,0.4224137931034483,0,-1
pc1_no_qualification,11,4,crop_08_holdout,348,0.5229885057471264,0,-1
pc1_no_qualification,11,4,crop_12_holdout,348,0.3649425287356322,0,-1
pc1_no_qualification,11,4,rotate_3,348,0.882183908045977,1,40
pc1_no_qualification,11,4,rotate_7,348,0.7126436781609196,0,-1
pc1_no_qualification,11,4,rotate_5_holdout,348,0.7873563218390804,0,-1
pc1_no_qualification,11,4,rotate_9_holdout,348,0.6580459770114943,0,-1
pc1_no_qualification,11,5,clean,348,1.0,1,0
pc1_no_qualification,11,5,jpeg_80,348,1.0,1,0
pc1_no_qualification,11,5,jpeg_50,348,0.9913793103448276,1,3
pc1_no_qualification,11,5,gaussian_5,348,0.9310344827586207,1,22
pc1_no_qualification,11,5,gaussian_12,348,0.9339080459770115,1,22
pc1_no_qualification,11,5,gaussian_9_holdout,348,0.9281609195402298,1,23
pc1_no_qualification,11,5,gaussian_15_holdout,348,0.9367816091954023,1,22
pc1_no_qualification,11,5,blur_0.8,348,0.9482758620689655,1,16
pc1_no_qualification,11,5,blur_1.5,348,0.882183908045977,1,37
pc1_no_qualification,11,5,blur_1.2_holdout,348,0.9051724137931034,1,29
pc1_no_qualification,11,5,blur_1.8_holdout,348,0.8563218390804598,1,46
pc1_no_qualification,11,5,resize_075,348,0.9540229885057471,1,15
pc1_no_qualification,11,5,resize_050,348,0.9310344827586207,1,20
pc1_no_qualification,11,5,crop_05,348,0.6408045977011494,0,-1
pc1_no_qualification,11,5,crop_10,348,0.4367816091954023,0,-1
pc1_no_qualification,11,5,crop_08_holdout,348,0.5316091954022989,0,-1
pc1_no_qualification,11,5,crop_12_holdout,348,0.3850574712643678,0,-1
pc1_no_qualification,11,5,rotate_3,348,0.8936781609195402,1,34
pc1_no_qualification,11,5,rotate_7,348,0.7471264367816092,0,-1
pc1_no_qualification,11,5,rotate_5_holdout,348,0.8017241379310345,1,60
pc1_no_qualification,11,5,rotate_9_holdout,348,0.6810344827586207,0,-1
pc1_no_qualification,11,6,clean,348,1.0,1,0
pc1_no_qualification,11,6,jpeg_80,348,1.0,1,0
pc1_no_qualification,11,6,jpeg_50,348,0.9913793103448276,1,3
pc1_no_qualification,11,6,gaussian_5,348,0.9281609195402298,1,23
pc1_no_qualification,11,6,gaussian_12,348,0.9252873563218391,1,23
pc1_no_qualification,11,6,gaussian_9_holdout,348,0.9252873563218391,1,25
pc1_no_qualification,11,6,gaussian_15_holdout,348,0.9281609195402298,1,25
pc1_no_qualification,11,6,blur_0.8,348,0.9454022988505747,1,18
pc1_no_qualification,11,6,blur_1.5,348,0.8649425287356322,1,41
pc1_no_qualification,11,6,blur_1.2_holdout,348,0.8994252873563219,1,31
