seed,detector_samples_per_class,global_logistic_auc,srm_lite_extratrees_auc,srm_lite_features
11,472,0.5393209200438116,0.4851953267615917,52
29,475,0.4896472116008946,0.5174049491378688,52
47,500,0.5127183673469388,0.5235265306122449,52
71,467,0.5052745772856502,0.5006172377674697,52
101,463,0.5449519048701053,0.5450276452321442,52
