seed,epoch,loss,invariance,variance,covariance
11,1,0.3008367437720299,0.000377155052105,0.0116450947867706,0.0002805037070793
11,2,0.1673394944667816,0.0003002515623593,0.0063790060030296,0.0003580549211474
11,3,0.1485403750166297,0.0004435027482631,0.0054827223103493,0.0003847477224189
11,4,0.151613630361855,0.0004794626556285,0.0055697267437353,0.0003838947571348
11,5,0.1574237770698964,0.0013190165319156,0.0049601574158295,0.0004444275146815
29,1,0.2868002782166004,0.0003015564602683,0.0111606008075177,0.0002463450176983
29,2,0.1729375665187835,0.0002776492808479,0.00662875325419,0.0002775034048827
29,3,0.1965373870432377,0.0003380413812192,0.0075111176827922,0.0003084115015808
29,4,0.1738577329665422,0.0004652911274088,0.0064736417206004,0.0003844108276534
29,5,0.1022843726761639,0.0008384364209564,0.0032340363766998,0.0004725531414151
47,1,0.2797884350717067,0.0005751420658198,0.0106050267070531,0.0002842156506521
47,2,0.1573780107349157,0.0003999889152764,0.0058807732276618,0.0003589567077578
47,3,0.1088745423182845,0.0007596721030131,0.0035773750962689,0.00044836312416
47,4,0.0802016452676616,0.0009405949871364,0.0022474454212933,0.0005006349466275
47,5,0.0662209145603701,0.0010003225870088,0.0016281690699979,0.0005086228381842
71,1,0.3018816216886043,0.0005086674927224,0.0115544405961409,0.0003039173351062
71,2,0.127015382617712,0.0004381602800367,0.0046264127576723,0.0004010557241272
71,3,0.1056348381564021,0.0004994204004515,0.0037076937463134,0.0004569852066924
71,4,0.0738938690340146,0.0004850681738803,0.0024508780054748,0.0004952150196768
71,5,0.0924226506310515,0.0008699376394468,0.0028071183068677,0.0004962520131375
101,1,0.2846646603345871,0.000310697097273,0.0110648493971675,0.0002759955149049
101,2,0.1694788583964109,0.0006038274047696,0.0061595414699986,0.0003946353453211
101,3,0.1136225071400404,0.000737203950023,0.0037887508496642,0.0004736376870423
101,4,0.0497495935363695,0.0005529361070637,0.0014165438972413,0.0005125935049727
101,5,0.1102351517630741,0.000721709262165,0.003668176705949,0.000488002982689
