seed,sequence,attack,covers,symbol_accuracy,message_success,rs_corrections
11,5,rotate_7,348,1.0,1,0
11,5,rotate_5_holdout,348,1.0,1,0
11,5,rotate_9_holdout,348,0.9310344827586208,1,23
11,6,clean,348,1.0,1,0
11,6,jpeg_80,348,1.0,1,0
11,6,jpeg_50,348,1.0,1,0
11,6,gaussian_5,348,1.0,1,0
11,6,gaussian_12,348,1.0,1,0
11,6,gaussian_9_holdout,348,1.0,1,0
11,6,gaussian_15_holdout,348,1.0,1,0
11,6,blur_0.8,348,1.0,1,0
11,6,blur_1.5,348,1.0,1,0
11,6,blur_1.2_holdout,348,1.0,1,0
11,6,blur_1.8_holdout,348,0.9798850574712644,1,7
11,6,resize_075,348,1.0,1,0
11,6,resize_050,348,1.0,1,0
11,6,crop_05,348,1.0,1,0
11,6,crop_10,348,1.0,1,0
11,6,crop_08_holdout,348,1.0,1,0
11,6,crop_12_holdout,348,0.8419540229885057,1,52
11,6,rotate_3,348,1.0,1,0
11,6,rotate_7,348,1.0,1,0
11,6,rotate_5_holdout,348,1.0,1,0
11,6,rotate_9_holdout,348,0.9339080459770116,1,23
11,7,clean,348,1.0,1,0
11,7,jpeg_80,348,1.0,1,0
11,7,jpeg_50,348,1.0,1,0
11,7,gaussian_5,348,1.0,1,0
11,7,gaussian_12,348,1.0,1,0
11,7,gaussian_9_holdout,348,1.0,1,0
11,7,gaussian_15_holdout,348,1.0,1,0
11,7,blur_0.8,348,1.0,1,0
11,7,blur_1.5,348,1.0,1,0
11,7,blur_1.2_holdout,348,1.0,1,0
11,7,blur_1.8_holdout,348,0.9913793103448276,1,3
11,7,resize_075,348,1.0,1,0
11,7,resize_050,348,1.0,1,0
11,7,crop_05,348,1.0,1,0
11,7,crop_10,348,1.0,1,0
11,7,crop_08_holdout,348,1.0,1,0
11,7,crop_12_holdout,348,0.8419540229885057,1,51
11,7,rotate_3,348,1.0,1,0
11,7,rotate_7,348,1.0,1,0
11,7,rotate_5_holdout,348,1.0,1,0
11,7,rotate_9_holdout,348,0.9367816091954024,1,21
11,8,clean,348,1.0,1,0
11,8,jpeg_80,348,1.0,1,0
11,8,jpeg_50,348,1.0,1,0
11,8,gaussian_5,348,1.0,1,0
11,8,gaussian_12,348,0.9971264367816092,1,1
11,8,gaussian_9_holdout,348,1.0,1,0
11,8,gaussian_15_holdout,348,1.0,1,0
11,8,blur_0.8,348,1.0,1,0
11,8,blur_1.5,348,1.0,1,0
11,8,blur_1.2_holdout,348,1.0,1,0
11,8,blur_1.8_holdout,348,0.9885057471264368,1,4
11,8,resize_075,348,1.0,1,0
11,8,resize_050,348,1.0,1,0
11,8,crop_05,348,1.0,1,0
11,8,crop_10,348,1.0,1,0
11,8,crop_08_holdout,348,1.0,1,0
11,8,crop_12_holdout,348,0.8419540229885057,1,51
11,8,rotate_3,348,1.0,1,0
11,8,rotate_7,348,1.0,1,0
11,8,rotate_5_holdout,348,1.0,1,0
11,8,rotate_9_holdout,348,0.9396551724137931,1,20
11,9,clean,348,1.0,1,0
11,9,jpeg_80,348,1.0,1,0
11,9,jpeg_50,348,1.0,1,0
11,9,gaussian_5,348,1.0,1,0
11,9,gaussian_12,348,1.0,1,0
11,9,gaussian_9_holdout,348,1.0,1,0
11,9,gaussian_15_holdout,348,1.0,1,0
11,9,blur_0.8,348,1.0,1,0
11,9,blur_1.5,348,1.0,1,0
11,9,blur_1.2_holdout,348,1.0,1,0
11,9,blur_1.8_holdout,348,0.9827586206896552,1,6
11,9,resize_075,348,1.0,1,0
11,9,resize_050,348,1.0,1,0
11,9,crop_05,348,1.0,1,0
11,9,crop_10,348,1.0,1,0
11,9,crop_08_holdout,348,1.0,1,0
11,9,crop_12_holdout,348,0.8477011494252874,1,45
11,9,rotate_3,348,1.0,1,0
11,9,rotate_7,348,1.0,1,0
11,9,rotate_5_holdout,348,1.0,1,0
11,9,rotate_9_holdout,348,0.9367816091954024,1,21
29,0,clean,348,1.0,1,0
29,0,jpeg_80,348,1.0,1,0
29,0,jpeg_50,348,1.0,1,0
29,0,gaussian_5,348,1.0,1,0
29,0,gaussian_12,348,1.0,1,0
29,0,gaussian_9_holdout,348,1.0,1,0
29,0,gaussian_15_holdout,348,0.9626436781609196,1,12
29,0,blur_0.8,348,1.0,1,0
29,0,blur_1.5,348,1.0,1,0
29,0,blur_1.2_holdout,348,1.0,1,0
29,0,blur_1.8_holdout,348,0.9655172413793104,1,11
29,0,resize_075,348,1.0,1,0
29,0,resize_050,348,1.0,1,0
29,0,crop_05,348,1.0,1,0
29,0,crop_10,348,1.0,1,0
29,0,crop_08_holdout,348,0.9942528735632185,1,2
29,0,crop_12_holdout,348,0.8448275862068966,1,52
29,0,rotate_3,348,1.0,1,0
29,0,rotate_7,348,1.0,1,0
29,0,rotate_5_holdout,348,1.0,1,0
