seed,trials,successes,message_success,symbol_accuracy,minimum_symbol_accuracy
11,210,210,1.0,0.9887657361795293,0.8362068965517241
29,210,210,1.0,0.9814039408866995,0.8275862068965517
47,210,210,1.0,0.9893986042692939,0.875
71,210,210,1.0,0.9886699507389163,0.8160919540229885
101,210,210,1.0,0.9886015325670499,0.8304597701149425
